EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,10,-10,0,501,1.00,1.00,-490.00,13.00,13.00,13
1,0.99,2,2.5,10,-10,0,501,1.00,1.00,-670.00,12.50,12.50,12
2,0.99,2,2.5,10,-10,0,501,1.00,1.00,-410.00,13.00,13.00,14
3,0.99,2,2.5,10,-10,0,501,1.00,1.00,-820.00,12.00,12.00, 9
4,0.99,2,2.5,10,-10,0,501,1.00,1.00,-790.00,11.60,11.60,10
5,0.99,2,2.5,10,-10,0,501,0.71,0.50,-430.00,11.83,11.83,13
6,0.99,2,2.5,10,-10,0,501,1.00,1.00,-490.00,12.14,12.14,14
7,0.99,2,2.5,10,-10,0,501,1.00,1.00,-580.00,12.25,12.25,13
8,0.99,2,2.5,10,-10,0,501,1.00,1.00,-650.00,12.22,12.22,12
9,0.99,2,2.5,10,-10,0,501,1.00,1.00,-490.00,12.40,12.40,14
10,0.99,2,2.5,10,-10,0,501,1.00,1.00,-670.00,12.55,12.50,14
11,0.99,2,2.5,10,-10,0,501,1.00,1.00,-450.00,12.67,12.70,14
12,0.99,2,2.5,10,-10,0,501,1.00,1.00,-530.00,12.77,12.70,14
13,0.99,2,2.5,10,-10,0,501,1.00,1.00,-660.00,12.79,13.10,13
14,0.99,2,2.5,10,-10,0,501,1.00,1.00,-700.00,12.60,13.10,10
15,0.99,2,2.5,10,-10,0,501,1.00,0.50,-600.00,12.62,13.10,13
16,0.99,2,2.5,10,-10,0,501,1.00,1.00,-720.00,12.53,12.80,11
17,0.99,2,2.5,10,-10,0,501,1.00,1.00,-350.00,12.67,13.00,15
18,0.99,2,2.5,10,-10,0,501,0.71,1.00,-330.00,12.79,13.30,15
19,0.99,2,2.5,10,-10,0,501,0.71,1.00,-510.00,12.85,13.30,14
20,0.99,2,2.5,10,-10,0,501,1.00,0.33,-230.00,13.05,13.60,17
21,0.99,2,2.5,10,-10,0,501,1.00,1.00,-540.00,13.09,13.60,14
22,0.99,2,2.5,10,-10,0,501,0.71,1.00,-550.00,13.04,13.40,12
23,0.99,2,2.5,10,-10,0,501,0.71,1.00,-500.00,13.17,13.70,16
24,0.99,2,2.5,10,-10,0,501,0.56,1.00,-900.00,13.08,13.80,11
25,0.99,2,2.5,10,-10,0,501,0.45,1.00,-530.00,13.15,14.00,15
26,0.99,2,2.5,10,-10,0,501,0.71,1.00,-260.00,13.30,14.60,17
27,0.99,2,2.5,10,-10,0,501,1.00,1.00,-630.00,13.32,14.50,14
28,0.99,2,2.5,10,-10,0,501,1.00,1.00,-530.00,13.34,14.40,14
29,0.99,2,2.5,10,-10,0,501,0.71,1.00,-490.00,13.40,14.50,15
30,0.99,2,2.5,10,-10,0,501,0.71,0.50,-760.00,13.39,14.10,13
31,0.99,2,2.5,10,-10,0,501,0.71,1.00,-580.00,13.44,14.20,15
32,0.99,2,2.5,10,-10,0,501,1.00,1.00,-490.00,13.45,14.40,14
33,0.99,2,2.5,10,-10,0,501,1.00,1.00,-470.00,13.53,14.40,16
34,0.99,2,2.5,10,-10,0,501,0.56,0.50,-290.00,13.60,14.90,16
35,0.99,2,2.5,10,-10,0,501,1.00,1.00,-470.00,13.67,15.00,16
36,0.99,2,2.5,10,-10,0,501,1.00,1.00,-500.00,13.70,14.80,15
37,0.99,2,2.5,10,-10,0,501,0.38,0.50,-560.00,13.74,14.90,15
38,0.99,2,2.5,10,-10,0,501,1.00,1.00,-360.00,13.79,15.10,16
39,0.99,2,2.5,10,-10,0,501,1.00,1.00,-390.00,13.90,15.40,18
40,0.99,2,2.5,10,-10,0,501,1.00,1.00,-420.00,13.93,15.60,15
41,0.99,2,2.5,10,-10,0,501,1.00,1.00,-320.00,14.00,15.80,17
42,0.99,2,2.5,10,-10,0,501,0.71,1.00,-300.00,14.12,16.30,19
43,0.99,2,2.5,10,-10,0,501,1.00,1.00,-670.00,14.11,16.10,14
44,0.99,2,2.5,10,-10,0,501,1.00,1.00,-510.00,14.11,15.90,14
45,0.99,2,2.5,10,-10,0,501,1.00,0.50,-250.00,14.17,16.00,17
46,0.99,2,2.5,10,-10,0,501,0.56,0.50,-460.00,14.26,16.30,18
47,0.99,2,2.5,10,-10,0,501,0.71,0.50,-380.00,14.33,16.60,18
48,0.99,2,2.5,10,-10,0,501,0.71,1.00,-490.00,14.37,16.60,16
49,0.99,2,2.5,10,-10,0,501,0.71,1.00,-300.00,14.42,16.50,17
50,0.99,2,2.5,10,-10,0,501,1.00,1.00,-400.00,14.49,16.80,18
51,0.99,2,2.5,10,-10,0,501,1.00,1.00,-470.00,14.54,16.80,17
52,0.99,2,2.5,10,-10,0,501,0.71,1.00,-400.00,14.60,16.70,18
53,0.99,2,2.5,10,-10,0,501,0.71,0.50,-310.00,14.69,17.20,19
54,0.99,2,2.5,10,-10,0,501,1.00,1.00,-460.00,14.73,17.50,17
55,0.99,2,2.5,10,-10,0,501,0.71,0.50,-350.00,14.77,17.50,17
56,0.99,2,2.5,10,-10,0,501,0.71,0.33,-360.00,14.82,17.50,18
57,0.99,2,2.5,10,-10,0,501,1.00,0.50,-360.00,14.90,17.60,19
58,0.99,2,2.5,10,-10,0,501,0.71,1.00,-400.00,14.93,17.70,17
59,0.99,2,2.5,10,-10,0,501,1.00,1.00,-230.00,15.02,18.00,20
60,0.99,2,2.5,10,-10,0,501,0.71,0.50,-500.00,15.05,17.90,17
61,0.99,2,2.5,10,-10,0,501,1.00,1.00,-280.00,15.11,18.10,19
62,0.99,2,2.5,10,-10,0,501,1.00,1.00,-430.00,15.19,18.30,20
63,0.99,2,2.5,10,-10,0,501,1.00,1.00,-260.00,15.27,18.40,20
64,0.99,2,2.5,10,-10,0,501,0.71,1.00,-650.00,15.31,18.50,18
65,0.99,2,2.5,10,-10,0,501,0.56,0.33,-430.00,15.35,18.60,18
66,0.99,2,2.5,10,-10,0,501,1.00,1.00,-360.00,15.37,18.50,17
67,0.99,2,2.5,10,-10,0,501,0.56,1.00,-450.00,15.43,18.50,19
68,0.99,2,2.5,10,-10,0,501,1.00,1.00,-600.00,15.43,18.40,16
69,0.99,2,2.5,10,-10,0,501,0.45,0.50,-400.00,15.47,18.20,18
70,0.99,2,2.5,10,-10,0,501,0.45,0.25,-240.00,15.55,18.60,21
71,0.99,2,2.5,10,-10,0,501,0.38,1.00,-580.00,15.58,18.50,18
72,0.99,2,2.5,10,-10,0,501,0.71,0.50,-260.00,15.63,18.40,19
73,0.99,2,2.5,10,-10,0,501,0.71,0.50,-170.00,15.68,18.30,19
74,0.99,2,2.5,10,-10,0,501,0.45,0.33,-590.00,15.69,18.20,17
75,0.99,2,2.5,10,-10,0,501,0.38,0.33,-450.00,15.71,18.10,17
76,0.99,2,2.5,10,-10,0,501,0.33,0.25,-400.00,15.73,18.10,17
77,0.99,2,2.5,10,-10,0,501,0.29,0.25,-380.00,15.77,18.10,19
78,0.99,2,2.5,10,-10,0,501,1.00,0.50,-490.00,15.77,18.10,16
79,0.99,2,2.5,10,-10,0,501,0.56,0.33,-250.00,15.82,18.30,20
80,0.99,2,2.5,10,-10,0,501,1.00,0.50,-370.00,15.88,18.20,20
81,0.99,2,2.5,10,-10,0,501,0.56,0.50,-470.00,15.90,18.20,18
82,0.99,2,2.5,10,-10,0,501,0.56,1.00,-170.00,15.96,18.40,21
83,0.99,2,2.5,10,-10,0,501,0.33,0.20,-430.00,15.99,18.30,18
84,0.99,2,2.5,10,-10,0,501,0.71,0.33,-590.00,16.00,18.30,17
85,0.99,2,2.5,10,-10,0,501,1.00,1.00,-350.00,16.03,18.50,19
86,0.99,2,2.5,10,-10,0,501,1.00,1.00,-550.00,16.05,18.50,17
87,0.99,2,2.5,10,-10,0,501,1.00,1.00,-300.00,16.08,18.50,19
88,0.99,2,2.5,10,-10,0,501,0.56,0.50,-500.00,16.12,18.90,20
89,0.99,2,2.5,10,-10,0,501,1.00,1.00,-420.00,16.14,18.70,18
90,0.99,2,2.5,10,-10,0,501,0.71,0.50,-340.00,16.19,18.70,20
91,0.99,2,2.5,10,-10,0,501,0.71,0.33,-310.00,16.22,18.80,19
92,0.99,2,2.5,10,-10,0,501,0.56,1.00,-500.00,16.23,18.40,17
93,0.99,2,2.5,10,-10,0,501,0.33,0.20,-450.00,16.24,18.40,18
94,0.99,2,2.5,10,-10,0,501,0.26,0.17,-450.00,16.25,18.40,17
95,0.99,2,2.5,10,-10,0,501,1.00,1.00,-430.00,16.28,18.40,19
96,0.99,2,2.5,10,-10,0,501,0.56,0.14,-330.00,16.30,18.50,18
97,0.99,2,2.5,10,-10,0,501,0.29,0.17,-420.00,16.33,18.50,19
98,0.99,2,2.5,10,-10,0,501,0.56,1.00,-730.00,16.32,18.10,16
99,0.99,2,2.5,10,-10,0,501,0.56,0.50,-400.00,16.34,18.10,18
100,0.99,2,2.5,10,-10,0,501,1.00,1.00,-320.00,16.37,18.00,19
101,0.99,2,2.5,10,-10,0,501,1.00,1.00,-440.00,16.37,17.80,17
102,0.99,2,2.5,10,-10,0,501,0.45,1.00,-570.00,16.39,17.90,18
103,0.99,2,2.5,10,-10,0,501,0.29,1.00,-620.00,16.39,17.80,17
104,0.99,2,2.5,10,-10,0,501,1.00,1.00,-440.00,16.43,18.10,20
105,0.99,2,2.5,10,-10,0,501,0.71,0.50,-500.00,16.44,18.00,18
106,0.99,2,2.5,10,-10,0,501,0.45,1.00,-350.00,16.46,18.00,18
107,0.99,2,2.5,10,-10,0,501,0.38,0.25,-380.00,16.47,17.90,18
108,0.99,2,2.5,10,-10,0,501,1.00,0.33,-300.00,16.50,18.30,20
109,0.99,2,2.5,10,-10,0,501,0.71,1.00,-460.00,16.54,18.50,20
110,0.99,2,2.5,10,-10,0,501,0.56,1.00,-380.00,16.55,18.40,18
111,0.99,2,2.5,10,-10,0,501,1.00,0.33,-340.00,16.57,18.60,19
112,0.99,2,2.5,10,-10,0,501,0.71,0.50,-280.00,16.61,18.90,21
113,0.99,2,2.5,10,-10,0,501,0.56,0.33,-240.00,16.66,19.40,22
114,0.99,2,2.5,10,-10,0,501,0.56,0.50,-300.00,16.69,19.40,20
115,0.99,2,2.5,10,-10,0,501,0.26,0.14,-520.00,16.70,19.40,18
116,0.99,2,2.5,10,-10,0,501,0.71,1.00,-490.00,16.72,19.50,19
117,0.99,2,2.5,10,-10,0,501,1.00,1.00,-470.00,16.74,19.60,19
118,0.99,2,2.5,10,-10,0,501,1.00,1.00,-490.00,16.76,19.50,19
119,0.99,2,2.5,10,-10,0,501,0.71,1.00,-270.00,16.78,19.50,20
120,0.99,2,2.5,10,-10,0,501,0.56,0.12,-450.00,16.79,19.50,18
121,0.99,2,2.5,10,-10,0,501,1.00,1.00,-500.00,16.79,19.20,16
122,0.99,2,2.5,10,-10,0,501,1.00,1.00,-400.00,16.80,19.00,19
123,0.99,2,2.5,10,-10,0,501,1.00,1.00,-520.00,16.79,18.30,15
124,0.99,2,2.5,10,-10,0,501,0.56,0.50,-460.00,16.80,18.10,18
125,0.99,2,2.5,10,-10,0,501,0.71,0.25,-250.00,16.83,18.40,21
126,0.99,2,2.5,10,-10,0,501,0.71,1.00,-440.00,16.84,18.30,18
127,0.99,2,2.5,10,-10,0,501,0.71,0.20,-280.00,16.88,18.50,21
128,0.99,2,2.5,10,-10,0,501,0.56,0.50,-530.00,16.88,18.40,18
129,0.99,2,2.5,10,-10,0,501,0.45,0.17,-300.00,16.91,18.40,20
130,0.99,2,2.5,10,-10,0,501,1.00,1.00,-530.00,16.92,18.50,19
131,0.99,2,2.5,10,-10,0,501,0.56,1.00,-330.00,16.93,18.70,18
132,0.99,2,2.5,10,-10,0,501,1.00,1.00,-640.00,16.93,18.50,17
133,0.99,2,2.5,10,-10,0,501,0.71,1.00,-480.00,16.95,18.90,19
134,0.99,2,2.5,10,-10,0,501,0.56,1.00,-480.00,16.97,19.10,20
135,0.99,2,2.5,10,-10,0,501,1.00,1.00,-400.00,16.97,18.70,17
136,0.99,2,2.5,10,-10,0,501,0.71,1.00,-510.00,16.98,18.70,18
137,0.99,2,2.5,10,-10,0,501,1.00,0.25,-440.00,17.01,18.70,21
138,0.99,2,2.5,10,-10,0,501,0.38,0.50,-520.00,17.01,18.70,18
139,0.99,2,2.5,10,-10,0,501,0.45,0.50,-380.00,17.03,18.60,19
140,0.99,2,2.5,10,-10,0,501,0.45,1.00,-330.00,17.05,18.70,20
141,0.99,2,2.5,10,-10,0,501,0.71,0.50,-490.00,17.06,18.70,18
142,0.99,2,2.5,10,-10,0,501,0.56,0.50,-470.00,17.08,19.00,20
143,0.99,2,2.5,10,-10,0,501,0.24,0.11,-470.00,17.08,18.90,18
144,0.99,2,2.5,10,-10,0,501,0.45,0.50,-330.00,17.10,18.90,20
145,0.99,2,2.5,10,-10,0,501,0.45,0.33,-210.00,17.14,19.40,22
146,0.99,2,2.5,10,-10,0,501,0.71,0.50,-470.00,17.15,19.50,19
147,0.99,2,2.5,10,-10,0,501,0.56,0.50,-400.00,17.17,19.40,20
148,0.99,2,2.5,10,-10,0,501,0.45,0.50,-430.00,17.19,19.60,20
149,0.99,2,2.5,10,-10,0,501,0.56,1.00,-430.00,17.21,19.70,20
150,0.99,2,2.5,10,-10,0,501,0.38,0.33,-330.00,17.23,19.70,20
151,0.99,2,2.5,10,-10,0,501,0.71,0.33,-330.00,17.24,19.90,20
152,0.99,2,2.5,10,-10,0,501,1.00,0.33,-250.00,17.27,20.00,21
153,0.99,2,2.5,10,-10,0,501,0.38,0.33,-240.00,17.30,20.40,22
154,0.99,2,2.5,10,-10,0,501,1.00,1.00,-440.00,17.31,20.30,19
155,0.99,2,2.5,10,-10,0,501,0.33,1.00,-270.00,17.33,20.10,20
156,0.99,2,2.5,10,-10,0,501,0.71,1.00,-350.00,17.34,20.10,19
157,0.99,2,2.5,10,-10,0,501,0.38,1.00,-460.00,17.35,20.10,20
158,0.99,2,2.5,10,-10,0,501,0.38,0.50,-410.00,17.37,20.10,20
159,0.99,2,2.5,10,-10,0,501,0.45,0.25,-320.00,17.39,20.20,21
160,0.99,2,2.5,10,-10,0,501,0.71,1.00,-240.00,17.41,20.20,20
161,0.99,2,2.5,10,-10,0,501,0.29,1.00,-360.00,17.42,20.10,19
162,0.99,2,2.5,10,-10,0,501,0.45,0.33,-400.00,17.43,19.90,19
163,0.99,2,2.5,10,-10,0,501,1.00,0.50,-260.00,17.45,19.70,20
164,0.99,2,2.5,10,-10,0,501,0.71,1.00,-320.00,17.47,19.90,21
165,0.99,2,2.5,10,-10,0,501,0.38,0.25,-350.00,17.48,19.80,19
166,0.99,2,2.5,10,-10,0,501,0.71,1.00,-410.00,17.49,19.90,20
167,0.99,2,2.5,10,-10,0,501,0.33,0.50,-340.00,17.50,19.80,19
168,0.99,2,2.5,10,-10,0,501,0.33,0.50,-270.00,17.51,19.80,20
169,0.99,2,2.5,10,-10,0,501,0.56,0.50,-190.00,17.54,19.80,21
170,0.99,2,2.5,10,-10,0,501,0.56,0.50,-270.00,17.56,20.00,22
171,0.99,2,2.5,10,-10,0,501,1.00,1.00,-220.00,17.59,20.30,22
172,0.99,2,2.5,10,-10,0,501,0.26,0.33,-530.00,17.59,20.20,18
173,0.99,2,2.5,10,-10,0,501,0.56,0.50,-220.00,17.61,20.40,22
174,0.99,2,2.5,10,-10,0,501,0.45,0.25,-370.00,17.63,20.30,20
175,0.99,2,2.5,10,-10,0,501,0.24,0.25,-290.00,17.64,20.30,19
176,0.99,2,2.5,10,-10,0,501,0.71,1.00,-230.00,17.66,20.50,22
177,0.99,2,2.5,10,-10,0,501,0.22,0.10,-260.00,17.66,20.40,18
178,0.99,2,2.5,10,-10,0,501,0.71,0.33,-410.00,17.68,20.40,20
179,0.99,2,2.5,10,-10,0,501,0.45,0.50,-430.00,17.68,20.20,19
180,0.99,2,2.5,10,-10,0,501,0.38,1.00,-400.00,17.69,19.90,19
181,0.99,2,2.5,10,-10,0,501,0.38,0.50,-400.00,17.71,19.80,21
182,0.99,2,2.5,10,-10,0,501,0.22,0.50,-360.00,17.72,19.90,19
183,0.99,2,2.5,10,-10,0,501,0.56,0.50,-420.00,17.72,19.60,19
184,0.99,2,2.5,10,-10,0,501,0.56,0.25,-310.00,17.75,19.80,22
185,0.99,2,2.5,10,-10,0,501,0.56,0.33,-260.00,17.76,19.90,20
186,0.99,2,2.5,10,-10,0,501,0.45,0.20,-320.00,17.78,19.80,21
187,0.99,2,2.5,10,-10,0,501,0.33,0.20,-240.00,17.79,20.10,21
188,0.99,2,2.5,10,-10,0,501,1.00,1.00,-240.00,17.80,20.10,20
189,0.99,2,2.5,10,-10,0,501,0.22,0.20,-270.00,17.82,20.30,21
190,0.99,2,2.5,10,-10,0,501,0.20,0.50,-300.00,17.84,20.50,21
191,0.99,2,2.5,10,-10,0,501,0.56,0.50,-220.00,17.86,20.60,22
192,0.99,2,2.5,10,-10,0,501,0.38,0.50,-150.00,17.89,21.10,24
193,0.99,2,2.5,10,-10,0,501,0.20,0.20,-220.00,17.92,21.50,23
194,0.99,2,2.5,10,-10,0,501,0.33,0.25,-230.00,17.94,21.60,23
195,0.99,2,2.5,10,-10,0,501,0.45,1.00,-160.00,17.96,21.70,21
196,0.99,2,2.5,10,-10,0,501,0.19,0.33,-160.00,17.98,21.80,22
197,0.99,2,2.5,10,-10,0,501,0.33,0.25,-450.00,17.98,21.50,18
198,0.99,2,2.5,10,-10,0,501,0.19,0.17,-310.00,17.99,21.50,20
199,0.99,2,2.5,10,-10,0,501,0.45,0.50,-200.00,18.00,21.50,21
200,0.99,2,2.5,10,-10,0,501,1.00,1.00,-490.00,18.01,21.40,20
201,0.99,2,2.5,10,-10,0,501,0.56,0.50,-350.00,18.03,21.30,21
202,0.99,2,2.5,10,-10,0,501,0.71,0.50,-290.00,18.04,20.90,20
203,0.99,2,2.5,10,-10,0,501,0.56,1.00,-340.00,18.05,20.60,20
204,0.99,2,2.5,10,-10,0,501,0.17,0.50,-450.00,18.06,20.30,20
205,0.99,2,2.5,10,-10,0,501,0.33,1.00,-260.00,18.08,20.40,22
206,0.99,2,2.5,10,-10,0,501,0.45,1.00,-180.00,18.10,20.40,22
207,0.99,2,2.5,10,-10,0,501,0.71,1.00,-330.00,18.11,20.70,21
208,0.99,2,2.5,10,-10,0,501,0.16,0.33,-320.00,18.13,20.90,22
209,0.99,2,2.5,10,-10,0,501,0.56,1.00,-150.00,18.14,20.90,21
210,0.99,2,2.5,10,-10,0,501,0.29,0.12,-370.00,18.16,21.00,21
