EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1020.00,15.00,15.00,15
1,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 740.00,14.50,14.50,14
2,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 530.00,14.00,14.00,13
3,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 550.00,13.75,13.75,13
4,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 580.00,13.60,13.60,13
5,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 670.00,13.67,13.67,14
6,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 930.00,14.00,14.00,16
7,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 710.00,13.88,13.88,13
8,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1230.00,14.22,14.22,17
9,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 830.00,14.30,14.30,15
10,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1030.00,14.55,14.50,17
11,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 970.00,14.67,14.70,16
12,0.99,2,0.001,100,-10,0,1001,1.00,1.00, 700.00,14.69,14.90,15
13,0.99,2,0.001,100,-10,0,1001,1.00,0.50,1430.00,15.00,15.50,19
14,0.99,2,0.001,100,-10,0,1001,0.00,1.00, 960.00,15.13,15.90,17
15,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1610.00,15.44,16.50,20
16,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1060.00,15.53,16.60,17
17,0.99,2,0.001,100,-10,0,1001,0.00,0.50,1190.00,15.72,17.20,19
18,0.99,2,0.001,100,-10,0,1001,0.00,1.00,1050.00,15.84,17.30,18
19,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1350.00,16.00,17.70,19
20,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1070.00,16.10,17.80,18
21,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1600.00,16.32,18.30,21
22,0.99,2,0.001,100,-10,0,1001,0.00,1.00,1190.00,16.39,18.60,18
23,0.99,2,0.001,100,-10,0,1001,0.00,1.00,1100.00,16.42,18.40,17
24,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1340.00,16.52,18.60,19
25,0.99,2,0.001,100,-10,0,1001,0.00,0.50,1140.00,16.58,18.40,18
26,0.99,2,0.001,100,-10,0,1001,1.00,1.00,1090.00,16.63,18.50,18
