EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3780.00,12.00,12.00,12
1,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3190.00,11.50,11.50,11
2,0.99,2,2.5,10,-50,0,501,1.00,1.00,-2420.00,12.00,12.00,13
3,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3090.00,11.75,11.75,11
4,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3480.00,11.80,11.80,12
5,0.99,2,2.5,10,-50,0,501,1.00,1.00,-2560.00,12.17,12.17,14
6,0.99,2,2.5,10,-50,0,501,0.71,1.00,-3230.00,12.14,12.14,12
7,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3220.00,12.25,12.25,13
8,0.99,2,2.5,10,-50,0,501,1.00,1.00,-2770.00,12.33,12.33,13
9,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3470.00,12.40,12.40,13
10,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3380.00,12.36,12.40,12
11,0.99,2,2.5,10,-50,0,501,1.00,0.50,-3420.00,12.42,12.60,13
12,0.99,2,2.5,10,-50,0,501,0.71,1.00,-3620.00,12.46,12.60,13
13,0.99,2,2.5,10,-50,0,501,1.00,1.00,-2340.00,12.71,13.10,16
14,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3060.00,12.80,13.30,14
15,0.99,2,2.5,10,-50,0,501,1.00,0.33,-2240.00,13.00,13.50,16
16,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3330.00,12.94,13.50,12
17,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3270.00,12.94,13.50,13
18,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3050.00,13.05,13.70,15
19,0.99,2,2.5,10,-50,0,501,0.71,1.00,-3620.00,13.05,13.70,13
20,0.99,2,2.5,10,-50,0,501,1.00,1.00,-2810.00,13.10,13.90,14
21,0.99,2,2.5,10,-50,0,501,1.00,1.00,-3750.00,13.18,14.10,15
22,0.99,2,2.5,10,-50,0,501,0.71,0.50,-3120.00,13.17,14.10,13
