EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 440.00,12.00,12.00,12
1,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 870.00,13.00,13.00,14
2,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 550.00,12.67,12.67,12
3,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 250.00,12.00,12.00,10
4,0.99,2,2.5,100,-10,0,1001,0.71,0.50, 460.00,12.00,12.00,12
5,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 670.00,12.17,12.17,13
6,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 440.00,12.14,12.14,12
7,0.99,2,2.5,100,-10,0,1001,1.00,1.00,1150.00,12.62,12.62,16
8,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 550.00,12.67,12.67,13
9,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 800.00,12.80,12.80,14
10,0.99,2,2.5,100,-10,0,1001,0.71,1.00, 960.00,13.00,13.10,15
11,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 780.00,13.08,13.10,14
12,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 240.00,12.92,13.00,11
13,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 870.00,13.07,13.50,15
14,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 530.00,13.07,13.60,13
15,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 840.00,13.19,13.80,15
16,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 720.00,13.24,14.00,14
17,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 700.00,13.28,13.80,14
18,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 950.00,13.37,14.00,15
19,0.99,2,2.5,100,-10,0,1001,0.71,1.00, 600.00,13.40,14.00,14
20,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 740.00,13.43,13.90,14
21,0.99,2,2.5,100,-10,0,1001,0.71,1.00,1260.00,13.59,14.20,17
22,0.99,2,2.5,100,-10,0,1001,1.00,0.50, 290.00,13.52,14.30,12
23,0.99,2,2.5,100,-10,0,1001,0.71,1.00, 180.00,13.46,14.00,12
24,0.99,2,2.5,100,-10,0,1001,0.56,1.00, 130.00,13.36,13.80,11
25,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 530.00,13.35,13.60,13
26,0.99,2,2.5,100,-10,0,1001,0.71,0.50,1020.00,13.41,13.70,15
27,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 920.00,13.46,13.80,15
28,0.99,2,2.5,100,-10,0,1001,0.56,1.00, 760.00,13.52,13.80,15
29,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 770.00,13.53,13.80,14
30,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 990.00,13.61,14.00,16
31,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 550.00,13.59,13.60,13
32,0.99,2,2.5,100,-10,0,1001,1.00,1.00,1060.00,13.67,14.00,16
33,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 880.00,13.71,14.30,15
34,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 620.00,13.69,14.50,13
35,0.99,2,2.5,100,-10,0,1001,1.00,1.00, 620.00,13.69,14.60,14
