EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
528,0.99,2,0.001,500,-10,0,1001,0.00,0.06,14940.00,26.87,30.40,30
529,0.99,2,0.001,500,-10,0,1001,0.00,0.07,15460.00,26.88,30.40,31
530,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14970.00,26.88,30.30,30
531,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15490.00,26.89,30.30,31
532,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15440.00,26.90,30.50,31
533,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14910.00,26.90,30.40,30
534,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15490.00,26.91,30.50,31
535,0.99,2,0.001,500,-10,0,1001,0.00,0.06,14910.00,26.92,30.50,30
536,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14440.00,26.92,30.30,29
537,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14970.00,26.93,30.30,30
538,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14930.00,26.93,30.30,30
539,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,26.94,30.30,31
540,0.99,2,0.001,500,-10,0,1001,0.00,0.05,15440.00,26.95,30.40,31
541,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15490.00,26.95,30.40,31
542,0.99,2,0.001,500,-10,0,1001,0.00,0.06,14920.00,26.96,30.30,30
543,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14970.00,26.97,30.30,30
544,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15430.00,26.97,30.30,31
545,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15500.00,26.98,30.40,31
546,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15500.00,26.99,30.60,31
547,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,26.99,30.70,31
548,0.99,2,0.001,500,-10,0,1001,0.00,0.06,14860.00,27.00,30.70,30
549,0.99,2,0.001,500,-10,0,1001,0.00,0.04,14380.00,27.00,30.50,29
550,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14230.00,27.01,30.30,29
551,0.99,2,0.001,500,-10,0,1001,0.00,0.01,13760.00,27.01,30.00,28
552,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15420.00,27.02,30.10,31
553,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14920.00,27.02,30.10,30
554,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.03,30.10,31
555,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.04,30.10,31
556,0.99,2,0.001,500,-10,0,1001,0.00,0.04,14950.00,27.04,30.00,30
557,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14320.00,27.04,29.80,29
558,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15490.00,27.05,29.90,31
559,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.06,30.10,31
560,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14410.00,27.06,30.10,29
561,0.99,2,0.001,500,-10,0,1001,0.00,0.12,14970.00,27.07,30.30,30
562,0.99,2,0.001,500,-10,0,1001,0.00,0.04,15490.00,27.07,30.30,31
563,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15500.00,27.08,30.40,31
564,0.99,2,0.001,500,-10,0,1001,0.00,0.50,14340.00,27.08,30.20,29
565,0.99,2,0.001,500,-10,0,1001,0.00,0.08,14940.00,27.09,30.10,30
566,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.10,30.20,31
567,0.99,2,0.001,500,-10,0,1001,0.00,0.50,14930.00,27.10,30.30,30
568,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15490.00,27.11,30.30,31
569,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.12,30.30,31
570,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14900.00,27.12,30.40,30
571,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15470.00,27.13,30.50,31
572,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14940.00,27.13,30.40,30
573,0.99,2,0.001,500,-10,0,1001,0.00,0.03,15490.00,27.14,30.40,31
574,0.99,2,0.001,500,-10,0,1001,0.00,0.02,15500.00,27.15,30.60,31
575,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.15,30.70,31
576,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14760.00,27.16,30.60,30
577,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14900.00,27.16,30.60,30
578,0.99,2,0.001,500,-10,0,1001,0.00,0.06,15500.00,27.17,30.60,31
579,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.18,30.60,31
580,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14920.00,27.18,30.60,30
581,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15490.00,27.19,30.60,31
582,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15380.00,27.19,30.70,31
583,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.20,30.70,31
584,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.21,30.70,31
585,0.99,2,0.001,500,-10,0,1001,0.00,0.02,14950.00,27.21,30.60,30
586,0.99,2,0.001,500,-10,0,1001,0.00,0.06,15500.00,27.22,30.70,31
587,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14950.00,27.22,30.70,30
588,0.99,2,0.001,500,-10,0,1001,0.00,0.10,15410.00,27.23,30.70,31
589,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.24,30.70,31
590,0.99,2,0.001,500,-10,0,1001,0.00,0.03,14340.00,27.24,30.60,29
591,0.99,2,0.001,500,-10,0,1001,0.00,0.03,13850.00,27.24,30.30,28
592,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14380.00,27.24,30.10,29
593,0.99,2,0.001,500,-10,0,1001,0.00,0.01,14930.00,27.25,30.00,30
594,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15500.00,27.25,30.00,31
595,0.99,2,0.001,500,-10,0,1001,0.00,0.01,15450.00,27.26,30.10,31
