EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,10,-10,0,701,1.00,1.00,-650.00,11.00,11.00,11
1,0.99,2,2.5,10,-10,0,701,1.00,1.00,-390.00,12.50,12.50,14
2,0.99,2,2.5,10,-10,0,701,1.00,1.00,-610.00,12.00,12.00,11
3,0.99,2,2.5,10,-10,0,701,1.00,1.00,-610.00,12.00,12.00,12
4,0.99,2,2.5,10,-10,0,701,1.00,1.00,-590.00,12.00,12.00,12
5,0.99,2,2.5,10,-10,0,701,1.00,1.00,-320.00,12.33,12.33,14
6,0.99,2,2.5,10,-10,0,701,1.00,1.00,-690.00,12.29,12.29,12
7,0.99,2,2.5,10,-10,0,701,1.00,1.00,-610.00,12.25,12.25,12
8,0.99,2,2.5,10,-10,0,701,1.00,1.00,-540.00,12.33,12.33,13
9,0.99,2,2.5,10,-10,0,701,1.00,1.00,-670.00,12.20,12.20,11
10,0.99,2,2.5,10,-10,0,701,0.71,1.00,-740.00,12.18,12.30,12
11,0.99,2,2.5,10,-10,0,701,1.00,1.00,-750.00,12.08,12.00,11
12,0.99,2,2.5,10,-10,0,701,1.00,1.00,-730.00,12.00,12.00,11
13,0.99,2,2.5,10,-10,0,701,1.00,1.00,-440.00,12.14,12.20,14
14,0.99,2,2.5,10,-10,0,701,1.00,1.00,-870.00,12.00,12.00,10
15,0.99,2,2.5,10,-10,0,701,1.00,0.50,-490.00,12.00,11.80,12
16,0.99,2,2.5,10,-10,0,701,1.00,1.00,-380.00,12.12,12.00,14
17,0.99,2,2.5,10,-10,0,701,1.00,1.00,-650.00,12.17,12.10,13
18,0.99,2,2.5,10,-10,0,701,1.00,1.00,-590.00,12.21,12.10,13
19,0.99,2,2.5,10,-10,0,701,1.00,0.50,-590.00,12.25,12.30,13
20,0.99,2,2.5,10,-10,0,701,1.00,1.00,-400.00,12.38,12.60,15
21,0.99,2,2.5,10,-10,0,701,1.00,1.00,-410.00,12.50,13.00,15
22,0.99,2,2.5,10,-10,0,701,1.00,1.00,-440.00,12.57,13.30,14
23,0.99,2,2.5,10,-10,0,701,1.00,0.50,-660.00,12.58,13.20,13
24,0.99,2,2.5,10,-10,0,701,1.00,1.00,-260.00,12.76,13.90,17
25,0.99,2,2.5,10,-10,0,701,1.00,1.00,-590.00,12.81,14.10,14
26,0.99,2,2.5,10,-10,0,701,0.71,0.50,-370.00,12.89,14.20,15
27,0.99,2,2.5,10,-10,0,701,0.56,1.00,-580.00,12.93,14.30,14
28,0.99,2,2.5,10,-10,0,701,0.71,1.00,-530.00,12.97,14.40,14
29,0.99,2,2.5,10,-10,0,701,1.00,1.00,-490.00,13.07,14.70,16
30,0.99,2,2.5,10,-10,0,701,0.56,1.00,-510.00,13.13,14.70,15
31,0.99,2,2.5,10,-10,0,701,0.71,1.00,-610.00,13.19,14.70,15
32,0.99,2,2.5,10,-10,0,701,1.00,1.00,-560.00,13.24,14.80,15
33,0.99,2,2.5,10,-10,0,701,0.71,1.00,-720.00,13.29,15.00,15
34,0.99,2,2.5,10,-10,0,701,0.71,1.00,-520.00,13.31,14.70,14
35,0.99,2,2.5,10,-10,0,701,1.00,1.00,-480.00,13.39,14.90,16
