EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,500,-10,0,1001,1.00,1.00,4060.00,10.00,10.00,10
1,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5450.00,11.00,11.00,12
2,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5220.00,11.33,11.33,12
3,0.99,2,2.5,500,-10,0,1001,1.00,0.50,5800.00,11.75,11.75,13
4,0.99,2,2.5,500,-10,0,1001,0.71,1.00,5890.00,12.00,12.00,13
5,0.99,2,2.5,500,-10,0,1001,1.00,1.00,4660.00,11.83,11.83,11
6,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5890.00,12.00,12.00,13
7,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5740.00,12.12,12.12,13
8,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5770.00,12.22,12.22,13
9,0.99,2,2.5,500,-10,0,1001,1.00,1.00,6910.00,12.50,12.50,15
10,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5960.00,12.55,12.80,13
11,0.99,2,2.5,500,-10,0,1001,1.00,1.00,6910.00,12.75,13.10,15
12,0.99,2,2.5,500,-10,0,1001,1.00,1.00,6390.00,12.85,13.30,14
13,0.99,2,2.5,500,-10,0,1001,0.71,1.00,5040.00,12.79,13.20,12
14,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5260.00,12.73,13.10,12
15,0.99,2,2.5,500,-10,0,1001,1.00,0.50,5200.00,12.69,13.20,12
16,0.99,2,2.5,500,-10,0,1001,1.00,1.00,4740.00,12.59,13.00,11
17,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5410.00,12.56,12.90,12
18,0.99,2,2.5,500,-10,0,1001,1.00,1.00,6420.00,12.63,13.00,14
19,0.99,2,2.5,500,-10,0,1001,1.00,1.00,5170.00,12.60,12.70,12
20,0.99,2,2.5,500,-10,0,1001,0.56,0.50,7000.00,12.71,12.90,15
21,0.99,2,2.5,500,-10,0,1001,0.71,1.00,5820.00,12.73,12.70,13
22,0.99,2,2.5,500,-10,0,1001,1.00,1.00,7210.00,12.87,12.90,16
23,0.99,2,2.5,500,-10,0,1001,0.71,1.00,6360.00,12.92,13.10,14
24,0.99,2,2.5,500,-10,0,1001,1.00,1.00,6860.00,13.00,13.40,15
25,0.99,2,2.5,500,-10,0,1001,0.56,0.50,7460.00,13.12,13.80,16
26,0.99,2,2.5,500,-10,0,1001,0.56,1.00,6990.00,13.19,14.20,15
27,0.99,2,2.5,500,-10,0,1001,0.71,1.00,7370.00,13.29,14.60,16
28,0.99,2,2.5,500,-10,0,1001,1.00,1.00,7990.00,13.41,14.90,17
29,0.99,2,2.5,500,-10,0,1001,1.00,1.00,6130.00,13.43,15.10,14
30,0.99,2,2.5,500,-10,0,1001,1.00,1.00,7470.00,13.52,15.20,16
31,0.99,2,2.5,500,-10,0,1001,0.71,1.00,7370.00,13.59,15.50,16
32,0.99,2,2.5,500,-10,0,1001,0.71,0.50,6240.00,13.61,15.30,14
