EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2780.00,12.00,12.00,12
1,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-4160.00,10.50,10.50, 9
2,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3580.00,11.00,11.00,12
3,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2710.00,11.75,11.75,14
4,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3430.00,11.80,11.80,12
5,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2980.00,11.83,11.83,12
6,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3680.00,11.86,11.86,12
7,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-4330.00,11.88,11.88,12
8,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2810.00,12.11,12.11,14
9,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3280.00,12.10,12.10,12
10,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3580.00,12.09,12.10,12
11,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3830.00,12.08,12.40,12
12,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2600.00,12.31,12.70,15
13,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-4270.00,12.36,12.60,13
14,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2400.00,12.53,12.90,15
15,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2950.00,12.69,13.20,15
16,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3310.00,12.76,13.40,14
17,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2660.00,12.83,13.60,14
18,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2750.00,12.95,13.70,15
19,0.99,2,2.5,10,-50,0,1001,0.71,0.50,-3460.00,13.00,13.90,14
20,0.99,2,2.5,10,-50,0,1001,0.56,0.50,-1990.00,13.14,14.30,16
21,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3350.00,13.23,14.60,15
22,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2810.00,13.26,14.50,14
23,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2580.00,13.42,14.90,17
24,0.99,2,2.5,10,-50,0,1001,0.71,0.50,-3110.00,13.44,14.80,14
25,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-4680.00,13.38,14.50,12
26,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-1670.00,13.56,14.90,18
27,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3910.00,13.57,14.90,14
28,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2950.00,13.62,14.90,15
29,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-3300.00,13.67,15.00,15
30,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-3100.00,13.71,14.90,15
31,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3310.00,13.72,14.80,14
32,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3350.00,13.76,14.90,15
33,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-3310.00,13.76,14.60,14
34,0.99,2,2.5,10,-50,0,1001,0.56,1.00,-2230.00,13.86,14.90,17
35,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2950.00,13.89,15.20,15
36,0.99,2,2.5,10,-50,0,1001,0.45,0.33,-3410.00,13.89,14.80,14
37,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2390.00,13.95,15.00,16
38,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2680.00,14.03,15.20,17
39,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2590.00,14.07,15.30,16
40,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3390.00,14.12,15.40,16
41,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-4010.00,14.12,15.40,14
42,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2620.00,14.21,15.70,18
43,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3850.00,14.23,15.80,15
44,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2730.00,14.29,15.80,17
45,0.99,2,2.5,10,-50,0,1001,0.56,0.50,-3490.00,14.33,15.90,16
46,0.99,2,2.5,10,-50,0,1001,0.56,1.00,-2970.00,14.40,16.30,18
47,0.99,2,2.5,10,-50,0,1001,0.56,1.00,-3100.00,14.42,16.20,15
48,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2930.00,14.47,16.20,17
49,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2120.00,14.54,16.40,18
50,0.99,2,2.5,10,-50,0,1001,0.71,0.50,-2400.00,14.65,16.80,20
51,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2010.00,14.73,17.30,19
52,0.99,2,2.5,10,-50,0,1001,0.71,0.50,-3050.00,14.74,17.00,15
53,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2890.00,14.76,17.10,16
54,0.99,2,2.5,10,-50,0,1001,0.71,0.50,-3180.00,14.80,17.10,17
55,0.99,2,2.5,10,-50,0,1001,0.56,1.00,-3000.00,14.80,17.00,15
56,0.99,2,2.5,10,-50,0,1001,1.00,0.50,-2250.00,14.89,17.20,20
57,0.99,2,2.5,10,-50,0,1001,0.56,1.00,-3320.00,14.95,17.50,18
58,0.99,2,2.5,10,-50,0,1001,0.45,0.50,-3340.00,14.97,17.40,16
59,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-1900.00,15.05,17.60,20
60,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-3180.00,15.08,17.30,17
61,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-3000.00,15.08,16.90,15
62,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-4090.00,15.10,17.00,16
63,0.99,2,2.5,10,-50,0,1001,0.45,0.50,-2610.00,15.16,17.30,19
64,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-2870.00,15.20,17.40,18
65,0.99,2,2.5,10,-50,0,1001,1.00,1.00,-1500.00,15.27,17.90,20
66,0.99,2,2.5,10,-50,0,1001,0.71,1.00,-2770.00,15.31,17.70,18
