27,0.99,2,0.001,500,-10,0,601,0.00,0.50,7440.00,15.93,17.70,16
28,0.99,2,0.001,500,-10,0,601,0.00,0.33,8350.00,16.00,17.80,18
29,0.99,2,0.001,500,-10,0,601,1.00,1.00,7740.00,16.03,17.90,17
30,0.99,2,0.001,500,-10,0,601,1.00,1.00,8220.00,16.10,18.00,18
31,0.99,2,0.001,500,-10,0,601,1.00,1.00,7780.00,16.12,18.00,17
32,0.99,2,0.001,500,-10,0,601,0.00,0.50,8270.00,16.18,17.80,18
33,0.99,2,0.001,500,-10,0,601,0.00,0.20,8310.00,16.24,17.50,18
34,0.99,2,0.001,500,-10,0,601,0.00,1.00,10400.00,16.40,17.90,22
35,0.99,2,0.001,500,-10,0,601,1.00,1.00,7650.00,16.42,17.70,17
36,0.99,2,0.001,500,-10,0,601,1.00,1.00,8810.00,16.49,18.00,19
37,0.99,2,0.001,500,-10,0,601,1.00,1.00,9400.00,16.58,18.40,20
38,0.99,2,0.001,500,-10,0,601,0.00,1.00,9350.00,16.67,18.60,20
39,0.99,2,0.001,500,-10,0,601,1.00,1.00,9880.00,16.77,19.00,21
40,0.99,2,0.001,500,-10,0,601,1.00,1.00,8250.00,16.80,19.00,18
41,0.99,2,0.001,500,-10,0,601,0.00,0.50,8870.00,16.86,19.20,19
42,0.99,2,0.001,500,-10,0,601,0.00,1.00,8370.00,16.88,19.20,18
43,0.99,2,0.001,500,-10,0,601,0.00,1.00,9320.00,16.95,19.40,20
44,0.99,2,0.001,500,-10,0,601,0.00,1.00,8970.00,17.00,19.10,19
45,0.99,2,0.001,500,-10,0,601,0.00,0.33,9250.00,17.07,19.40,20
46,0.99,2,0.001,500,-10,0,601,0.00,0.50,9380.00,17.13,19.50,20
47,0.99,2,0.001,500,-10,0,601,1.00,1.00,8200.00,17.15,19.30,18
48,0.99,2,0.001,500,-10,0,601,0.00,1.00,9890.00,17.22,19.40,21
49,0.99,2,0.001,500,-10,0,601,1.00,1.00,9370.00,17.28,19.30,20
50,0.99,2,0.001,500,-10,0,601,0.00,1.00,9890.00,17.35,19.60,21
51,0.99,2,0.001,500,-10,0,601,0.00,0.50,10940.00,17.46,20.00,23
52,0.99,2,0.001,500,-10,0,601,0.00,0.25,11080.00,17.57,20.50,23
53,0.99,2,0.001,500,-10,0,601,0.00,1.00,8900.00,17.59,20.40,19
54,0.99,2,0.001,500,-10,0,601,1.00,0.33,9420.00,17.64,20.50,20
55,0.99,2,0.001,500,-10,0,601,0.00,1.00,9440.00,17.68,20.50,20
56,0.99,2,0.001,500,-10,0,601,1.00,1.00,8370.00,17.68,20.30,18
57,0.99,2,0.001,500,-10,0,601,0.00,1.00,9280.00,17.72,20.50,20
58,0.99,2,0.001,500,-10,0,601,0.00,1.00,9340.00,17.76,20.40,20
59,0.99,2,0.001,500,-10,0,601,1.00,1.00,9940.00,17.82,20.50,21
60,0.99,2,0.001,500,-10,0,601,0.00,1.00,9300.00,17.85,20.40,20
61,0.99,2,0.001,500,-10,0,601,0.00,0.25,7780.00,17.84,19.80,17
62,0.99,2,0.001,500,-10,0,601,1.00,1.00,11580.00,17.94,19.90,24
63,0.99,2,0.001,500,-10,0,601,0.00,0.17,8870.00,17.95,19.90,19
64,0.99,2,0.001,500,-10,0,601,0.00,0.33,10970.00,18.03,20.20,23
65,0.99,2,0.001,500,-10,0,601,0.00,1.00,10390.00,18.09,20.40,22
66,0.99,2,0.001,500,-10,0,601,0.00,0.50,10440.00,18.15,20.80,22
67,0.99,2,0.001,500,-10,0,601,1.00,0.50,9930.00,18.19,20.90,21
68,0.99,2,0.001,500,-10,0,601,1.00,0.33,9920.00,18.23,21.00,21
69,0.99,2,0.001,500,-10,0,601,0.00,1.00,9330.00,18.26,20.90,20
