EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
715,0.99,2,5.0,100,-10,0,1001,0.12,0.17,2070.00,20.45,24.30,24
716,0.99,2,5.0,100,-10,0,1001,0.62,0.33,2370.00,20.45,24.60,26
717,0.99,2,5.0,100,-10,0,1001,0.22,0.03,2310.00,20.46,24.70,25
718,0.99,2,5.0,100,-10,0,1001,0.12,0.04,2400.00,20.47,24.80,26
719,0.99,2,5.0,100,-10,0,1001,0.11,0.03,2210.00,20.47,24.80,25
720,0.99,2,5.0,100,-10,0,1001,0.28,0.07,2030.00,20.48,24.90,24
721,0.99,2,5.0,100,-10,0,1001,0.16,0.20,2000.00,20.48,24.90,24
722,0.99,2,5.0,100,-10,0,1001,0.11,0.04,2100.00,20.49,24.80,24
723,0.99,2,5.0,100,-10,0,1001,0.10,0.04,2440.00,20.50,25.00,26
724,0.99,2,5.0,100,-10,0,1001,0.56,0.50,2140.00,20.50,24.80,24
725,0.99,2,5.0,100,-10,0,1001,0.11,0.03,2300.00,20.51,25.00,26
726,0.99,2,5.0,100,-10,0,1001,0.11,0.07,2400.00,20.52,25.00,26
727,0.99,2,5.0,100,-10,0,1001,0.11,0.03,2080.00,20.52,24.90,24
728,0.99,2,5.0,100,-10,0,1001,0.11,0.04,2220.00,20.53,24.80,25
729,0.99,2,5.0,100,-10,0,1001,0.18,0.04,2420.00,20.53,24.90,26
730,0.99,2,5.0,100,-10,0,1001,0.12,0.05,2370.00,20.54,25.10,26
731,0.99,2,5.0,100,-10,0,1001,0.10,1.00,2460.00,20.55,25.40,27
732,0.99,2,5.0,100,-10,0,1001,0.16,0.02,2080.00,20.56,25.40,24
733,0.99,2,5.0,100,-10,0,1001,0.62,0.50,2320.00,20.56,25.30,25
734,0.99,2,5.0,100,-10,0,1001,0.36,0.12,2420.00,20.57,25.50,26
735,0.99,2,5.0,100,-10,0,1001,0.56,1.00,2440.00,20.58,25.50,26
736,0.99,2,5.0,100,-10,0,1001,0.11,0.05,2520.00,20.58,25.60,27
737,0.99,2,5.0,100,-10,0,1001,0.16,0.03,2100.00,20.59,25.60,24
738,0.99,2,5.0,100,-10,0,1001,0.10,0.03,2590.00,20.60,25.80,27
739,0.99,2,5.0,100,-10,0,1001,0.15,0.14,2000.00,20.60,25.50,23
740,0.99,2,5.0,100,-10,0,1001,0.11,0.33,2150.00,20.61,25.30,24
741,0.99,2,5.0,100,-10,0,1001,0.20,0.11,2400.00,20.61,25.20,26
742,0.99,2,5.0,100,-10,0,1001,0.11,0.04,2370.00,20.62,25.40,26
743,0.99,2,5.0,100,-10,0,1001,0.10,0.04,2410.00,20.63,25.60,27
744,0.99,2,5.0,100,-10,0,1001,0.71,0.50,2400.00,20.64,25.60,26
745,0.99,2,5.0,100,-10,0,1001,0.10,0.07,1760.00,20.64,25.30,23
746,0.99,2,5.0,100,-10,0,1001,0.10,0.25,2320.00,20.65,25.10,25
747,0.99,2,5.0,100,-10,0,1001,0.50,0.25,2370.00,20.65,25.30,26
748,0.99,2,5.0,100,-10,0,1001,0.19,0.06,2000.00,20.66,25.00,24
749,0.99,2,5.0,100,-10,0,1001,0.09,0.03,2340.00,20.66,25.30,26
750,0.99,2,5.0,100,-10,0,1001,0.19,0.20,2440.00,20.67,25.50,26
751,0.99,2,5.0,100,-10,0,1001,0.10,0.14,2310.00,20.68,25.50,26
752,0.99,2,5.0,100,-10,0,1001,0.19,0.10,2120.00,20.68,25.30,24
753,0.99,2,5.0,100,-10,0,1001,0.18,0.03,2410.00,20.69,25.10,25
754,0.99,2,5.0,100,-10,0,1001,0.22,0.12,2040.00,20.69,24.90,24
755,0.99,2,5.0,100,-10,0,1001,0.56,0.33,2220.00,20.70,25.10,25
756,0.99,2,5.0,100,-10,0,1001,0.10,0.12,2220.00,20.70,25.10,25
757,0.99,2,5.0,100,-10,0,1001,0.11,0.08,1970.00,20.71,24.80,23
758,0.99,2,5.0,100,-10,0,1001,0.23,0.06,1940.00,20.71,24.70,23
759,0.99,2,5.0,100,-10,0,1001,0.09,0.02,2410.00,20.72,24.70,26
760,0.99,2,5.0,100,-10,0,1001,0.17,0.02,2010.00,20.72,24.40,23
761,0.99,2,5.0,100,-10,0,1001,0.11,0.04,2100.00,20.72,24.20,24
762,0.99,2,5.0,100,-10,0,1001,0.17,0.02,2020.00,20.73,24.10,23
763,0.99,2,5.0,100,-10,0,1001,0.14,0.33,2040.00,20.73,24.00,24
764,0.99,2,5.0,100,-10,0,1001,0.09,0.20,2200.00,20.74,24.10,25
765,0.99,2,5.0,100,-10,0,1001,0.09,0.02,2440.00,20.74,24.20,26
766,0.99,2,5.0,100,-10,0,1001,0.09,0.08,2260.00,20.75,24.20,25
767,0.99,2,5.0,100,-10,0,1001,0.13,0.06,2440.00,20.76,24.50,26
768,0.99,2,5.0,100,-10,0,1001,0.23,0.09,2320.00,20.76,24.70,25
769,0.99,2,5.0,100,-10,0,1001,0.15,0.05,1480.00,20.76,24.10,20
770,0.99,2,5.0,100,-10,0,1001,0.12,0.05,2560.00,20.77,24.50,27
771,0.99,2,5.0,100,-10,0,1001,0.09,0.08,2400.00,20.78,24.70,26
772,0.99,2,5.0,100,-10,0,1001,0.10,0.07,1790.00,20.78,24.60,22
773,0.99,2,5.0,100,-10,0,1001,0.17,0.04,2140.00,20.78,24.60,24
774,0.99,2,5.0,100,-10,0,1001,0.08,0.03,2150.00,20.79,24.50,24
775,0.99,2,5.0,100,-10,0,1001,0.23,0.12,2240.00,20.79,24.40,25
776,0.99,2,5.0,100,-10,0,1001,0.14,0.05,2270.00,20.80,24.40,25
777,0.99,2,5.0,100,-10,0,1001,0.50,0.50,2470.00,20.80,24.40,26
778,0.99,2,5.0,100,-10,0,1001,0.08,0.02,2420.00,20.81,24.50,26
779,0.99,2,5.0,100,-10,0,1001,0.16,0.07,2160.00,20.82,25.00,25
780,0.99,2,5.0,100,-10,0,1001,0.08,0.02,2290.00,20.82,24.80,25
781,0.99,2,5.0,100,-10,0,1001,0.16,0.07,1990.00,20.82,24.60,24
782,0.99,2,5.0,100,-10,0,1001,0.08,0.02,2370.00,20.83,24.90,25
783,0.99,2,5.0,100,-10,0,1001,0.71,0.33,2110.00,20.83,24.80,23
784,0.99,2,5.0,100,-10,0,1001,0.21,0.20,2200.00,20.84,24.90,25
785,0.99,2,5.0,100,-10,0,1001,0.10,0.04,2000.00,20.84,24.80,24
786,0.99,2,5.0,100,-10,0,1001,0.10,0.03,2200.00,20.85,24.80,25
787,0.99,2,5.0,100,-10,0,1001,0.14,0.03,2010.00,20.85,24.60,24
788,0.99,2,5.0,100,-10,0,1001,0.22,0.11,2220.00,20.86,24.50,25
789,0.99,2,5.0,100,-10,0,1001,0.08,0.02,2270.00,20.86,24.50,25
790,0.99,2,5.0,100,-10,0,1001,0.10,0.03,2100.00,20.86,24.30,23
791,0.99,2,5.0,100,-10,0,1001,0.08,0.02,1880.00,20.87,24.20,23
792,0.99,2,5.0,100,-10,0,1001,0.56,0.50,2300.00,20.87,24.10,24
793,0.99,2,5.0,100,-10,0,1001,0.15,0.06,2250.00,20.88,24.30,25
794,0.99,2,5.0,100,-10,0,1001,0.10,0.04,2240.00,20.88,24.30,25
795,0.99,2,5.0,100,-10,0,1001,0.10,0.03,2200.00,20.89,24.40,25
796,0.99,2,5.0,100,-10,0,1001,0.08,0.06,2070.00,20.89,24.30,24
797,0.99,2,5.0,100,-10,0,1001,0.50,0.25,2330.00,20.90,24.40,25
