EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-520.00,13.00,13.00,13
1,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-660.00,12.50,12.50,12
2,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-650.00,12.67,12.67,13
3,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-410.00,13.25,13.25,15
4,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-590.00,12.60,12.60,10
5,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-490.00,12.67,12.67,13
6,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-570.00,12.57,12.57,12
7,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-660.00,12.62,12.62,13
8,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-470.00,12.67,12.67,13
9,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-540.00,12.70,12.70,13
10,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-540.00,12.73,12.70,13
11,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-600.00,12.67,12.70,12
12,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-480.00,12.69,12.70,13
13,0.99,2,2.5,10,-10,0,1001,0.56,1.00,-560.00,12.71,12.50,13
14,0.99,2,2.5,10,-10,0,1001,0.71,0.50,-290.00,12.87,13.00,15
15,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-510.00,12.88,13.00,13
16,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-460.00,12.94,13.20,14
17,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-470.00,12.94,13.20,13
18,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-640.00,12.95,13.20,13
19,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-640.00,12.90,13.10,12
20,0.99,2,2.5,10,-10,0,1001,0.45,1.00,-370.00,12.95,13.20,14
21,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-460.00,13.14,13.70,17
22,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-850.00,13.09,13.60,12
23,0.99,2,2.5,10,-10,0,1001,0.56,1.00,-570.00,13.12,13.70,14
24,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-590.00,13.12,13.50,13
25,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-280.00,13.23,13.80,16
26,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-350.00,13.30,13.90,15
27,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-560.00,13.32,14.00,14
28,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-530.00,13.34,14.10,14
29,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-400.00,13.40,14.40,15
30,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-640.00,13.42,14.40,14
31,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-600.00,13.44,14.10,14
32,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-540.00,13.42,14.20,13
33,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-350.00,13.53,14.50,17
34,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-370.00,13.63,14.90,17
35,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-450.00,13.69,14.90,16
36,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-390.00,13.76,15.00,16
37,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-570.00,13.82,15.20,16
38,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-320.00,13.92,15.60,18
39,0.99,2,2.5,10,-10,0,1001,0.71,0.50,-640.00,13.93,15.50,14
40,0.99,2,2.5,10,-10,0,1001,1.00,0.33,-460.00,13.98,15.70,16
41,0.99,2,2.5,10,-10,0,1001,0.56,1.00,-300.00,14.07,16.10,18
42,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-410.00,14.12,16.40,16
43,0.99,2,2.5,10,-10,0,1001,0.56,1.00,-440.00,14.18,16.40,17
44,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-360.00,14.24,16.40,17
45,0.99,2,2.5,10,-10,0,1001,0.71,0.33,-330.00,14.28,16.40,16
46,0.99,2,2.5,10,-10,0,1001,0.45,1.00,-380.00,14.36,16.60,18
47,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-320.00,14.44,16.80,18
48,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-480.00,14.49,16.70,17
49,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-600.00,14.50,16.80,15
50,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-570.00,14.53,16.80,16
51,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-350.00,14.60,16.80,18
52,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-460.00,14.66,17.00,18
53,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-670.00,14.67,16.80,15
54,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-290.00,14.73,16.90,18
55,0.99,2,2.5,10,-10,0,1001,0.71,0.50,-430.00,14.79,17.10,18
56,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-370.00,14.88,17.30,20
57,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-250.00,14.97,17.50,20
58,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-520.00,14.97,17.30,15
59,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-580.00,15.00,17.50,17
60,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-590.00,15.03,17.60,17
61,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-390.00,15.08,17.60,18
62,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-400.00,15.14,17.70,19
63,0.99,2,2.5,10,-10,0,1001,0.56,0.50,-420.00,15.17,17.90,17
64,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-370.00,15.22,17.90,18
65,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-310.00,15.29,18.10,20
66,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-440.00,15.31,17.80,17
67,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-470.00,15.34,17.50,17
68,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-330.00,15.38,17.80,18
69,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-470.00,15.41,17.90,18
70,0.99,2,2.5,10,-10,0,1001,1.00,1.00,-250.00,15.49,18.30,21
71,0.99,2,2.5,10,-10,0,1001,0.71,0.50,-470.00,15.51,18.20,17
72,0.99,2,2.5,10,-10,0,1001,0.56,0.50,-270.00,15.58,18.30,20
73,0.99,2,2.5,10,-10,0,1001,0.56,1.00,-520.00,15.59,18.30,17
74,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-510.00,15.63,18.30,18
75,0.99,2,2.5,10,-10,0,1001,0.71,1.00,-390.00,15.67,18.20,19
76,0.99,2,2.5,10,-10,0,1001,0.71,0.50,-560.00,15.68,18.10,16
77,0.99,2,2.5,10,-10,0,1001,1.00,0.50,-380.00,15.71,18.20,18
78,0.99,2,2.5,10,-10,0,1001,0.56,0.33,-430.00,15.76,18.40,20
79,0.99,2,2.5,10,-10,0,1001,0.56,1.00,-460.00,15.78,18.30,17
80,0.99,2,2.5,10,-10,0,1001,0.45,0.50,-330.00,15.81,18.10,19
