Epsilon;Alpha;Gamma;Epochs_learn;Penalties_learn;Epochs_eval;Penalties_eval;Worked
0.16;0.14;0.44000000000000006;1707348;82583;1301;0;True
0.16;0.14;0.45000000000000007;1704491;82554;1299;0;True
0.16;0.15;0.35;1716016;82920;1314;0;True
0.16;0.15;0.36;1714839;82705;1280;0;True
0.16;0.15;0.37;1709931;82437;1257;0;True
0.16;0.15;0.38;1709867;82533;1318;0;True
0.16;0.15;0.39;1706698;82856;1274;0;True
0.16;0.15;0.4;1703037;82337;1300;0;True
0.16;0.15;0.41000000000000003;1703286;81866;1326;0;True
0.16;0.15;0.42000000000000004;1700299;81444;1308;0;True
0.16;0.15;0.43000000000000005;1695678;81376;1312;0;True
0.16;0.15;0.44000000000000006;1696726;81651;1322;0;True
0.16;0.15;0.45000000000000007;1695357;81917;1326;0;True
0.17;0.05;0.35;1997217;103360;1303;0;True
0.17;0.05;0.36;1993439;103660;1337;0;True
0.17;0.05;0.37;1983596;102580;1343;0;True
0.17;0.05;0.38;1977756;102470;1314;0;True
0.17;0.05;0.39;1970866;101778;1294;0;True
0.17;0.05;0.4;1967640;101908;1281;0;True
0.17;0.05;0.41000000000000003;1957709;101245;1321;0;True
0.17;0.05;0.42000000000000004;1950584;100846;1300;0;True
0.17;0.05;0.43000000000000005;1944930;100513;1280;0;True
0.17;0.05;0.44000000000000006;1937398;100607;1318;0;True
0.17;0.05;0.45000000000000007;1935260;100226;1353;0;True
0.17;0.060000000000000005;0.35;1931516;99697;1344;0;True
0.17;0.060000000000000005;0.36;1926959;99798;1315;0;True
0.17;0.060000000000000005;0.37;1923500;99511;1298;0;True
0.17;0.060000000000000005;0.38;1918193;98425;1332;0;True
0.17;0.060000000000000005;0.39;1913728;99193;1341;0;True
0.17;0.060000000000000005;0.4;1904647;98065;1322;0;True
0.17;0.060000000000000005;0.41000000000000003;1898612;97988;1351;0;True
0.17;0.060000000000000005;0.42000000000000004;1896104;97901;1262;0;True
0.17;0.060000000000000005;0.43000000000000005;1889430;97077;1335;0;True
0.17;0.060000000000000005;0.44000000000000006;1885790;97741;1303;0;True
