Epsilon;Alpha;Gamma;Epochs_learn;Penalties_learn;Epochs_eval;Penalties_eval;Worked
0.2;0.2;0.9;1724888;104200;1304;0;True
0.2;0.30000000000000004;0.1;1811459;109126;1309;0;True
0.2;0.30000000000000004;0.2;1756389;105441;1275;0;True
0.2;0.30000000000000004;0.30000000000000004;1742740;104421;1287;0;True
0.2;0.30000000000000004;0.4;1733868;104085;1314;0;True
0.2;0.30000000000000004;0.5;1725405;103759;1286;0;True
0.2;0.30000000000000004;0.6;1720838;103514;1264;0;True
0.2;0.30000000000000004;0.7000000000000001;1716334;102806;1302;0;True
0.2;0.30000000000000004;0.8;1713647;102566;1368;0;True
0.2;0.30000000000000004;0.9;1708746;102140;1317;0;True
0.2;0.4;0.1;1747556;104506;1301;0;True
0.2;0.4;0.2;1734124;104378;1320;0;True
0.2;0.4;0.30000000000000004;1724262;103432;1317;0;True
0.2;0.4;0.4;1717043;102627;1325;0;True
0.2;0.4;0.5;1715187;103121;1266;0;True
0.2;0.4;0.6;1707852;102029;1312;0;True
0.2;0.4;0.7000000000000001;1704315;102003;1308;0;True
0.2;0.4;0.8;1704500;102599;1302;0;True
0.2;0.4;0.9;1707125;102137;1357;0;True
0.2;0.5;0.1;1732851;103902;1299;0;True
0.2;0.5;0.2;1717342;102631;1341;0;True
0.2;0.5;0.30000000000000004;1715113;102766;1313;0;True
0.2;0.5;0.4;1707571;101718;1311;0;True
0.2;0.5;0.5;1705591;102349;1340;0;True
0.2;0.5;0.6;1702109;101333;1309;0;True
0.2;0.5;0.7000000000000001;1700174;101959;1299;0;True
0.2;0.5;0.8;1700476;101433;1281;0;True
0.2;0.5;0.9;1699807;102017;1314;0;True
0.2;0.6;0.1;1719742;102719;1270;0;True
0.2;0.6;0.2;1714424;102677;1316;0;True
0.2;0.6;0.30000000000000004;1705319;102583;1308;0;True
0.2;0.6;0.4;1702302;101885;1304;0;True
0.2;0.6;0.5;1703164;102905;1316;0;True
0.2;0.6;0.6;1697217;101284;1360;0;True
0.2;0.6;0.7000000000000001;1696793;101396;1300;0;True
0.2;0.6;0.8;1697437;101299;1337;0;True
0.2;0.6;0.9;1696049;101585;1304;0;True
0.2;0.7000000000000001;0.1;1711401;102912;1285;0;True
0.2;0.7000000000000001;0.2;1706600;102488;1293;0;True
0.2;0.7000000000000001;0.30000000000000004;1700100;102110;1268;0;True
0.2;0.7000000000000001;0.4;1696232;101216;1330;0;True
0.2;0.7000000000000001;0.5;1699057;101557;1328;0;True
0.2;0.7000000000000001;0.6;1695351;101576;1300;0;True
0.2;0.7000000000000001;0.7000000000000001;1698137;101053;1300;0;True
0.2;0.7000000000000001;0.8;1690353;101066;1364;0;True
0.2;0.7000000000000001;0.9;1694589;101499;1251;0;True
0.2;0.8;0.1;1701855;101636;1331;0;True
0.2;0.8;0.2;1697699;101388;1307;0;True
0.2;0.8;0.30000000000000004;1694375;100964;1307;0;True
0.2;0.8;0.4;1694782;101431;1295;0;True
0.2;0.8;0.5;1694122;100772;1270;0;True
0.2;0.8;0.6;1697206;101745;1310;0;True
0.2;0.8;0.7000000000000001;1692261;100983;1274;0;True
0.2;0.8;0.8;1693235;101004;1341;0;True
0.2;0.8;0.9;1693605;101382;1263;0;True
0.2;0.9;0.1;1696104;101524;1323;0;True
0.2;0.9;0.2;1694289;101464;1336;0;True
0.2;0.9;0.30000000000000004;1694414;100947;1338;0;True
0.2;0.9;0.4;1695434;101271;1313;0;True
0.2;0.9;0.5;1692096;101154;1261;0;True
0.2;0.9;0.6;1692926;100911;1318;0;True
0.2;0.9;0.7000000000000001;1694310;101825;1358;0;True
0.2;0.9;0.8;1694265;101729;1344;0;True
0.2;0.9;0.9;1692471;101004;1279;0;True
0.3;0.1;0.1;2328107;212099;1308;0;True
0.3;0.1;0.2;2218173;201603;1320;0;True
0.3;0.1;0.30000000000000004;2171255;196478;1321;0;True
0.3;0.1;0.4;2131783;191900;1309;0;True
0.3;0.1;0.5;2105108;190058;1314;0;True
0.3;0.1;0.6;2078642;187320;1295;0;True
0.3;0.1;0.7000000000000001;2068716;186882;1313;0;True
0.3;0.1;0.8;2048845;184120;1330;0;True
0.3;0.1;0.9;2038919;183149;1320;0;True
0.3;0.2;0.1;2121757;191925;1327;0;True
0.3;0.2;0.2;2077798;187219;1314;0;True
0.3;0.2;0.30000000000000004;2057607;185953;1291;0;True
0.3;0.2;0.4;2040557;183983;1336;0;True
0.3;0.2;0.5;2026607;182427;1309;0;True
0.3;0.2;0.6;2017682;181456;1315;0;True
0.3;0.2;0.7000000000000001;2010332;180590;1281;0;True
0.3;0.2;0.8;2003167;180219;1306;0;True
0.3;0.2;0.9;1998943;179155;1309;0;True
0.3;0.30000000000000004;0.1;2082355;188583;100052;0;False
0.3;0.30000000000000004;0.2;2030475;182982;1266;0;True
0.3;0.30000000000000004;0.30000000000000004;2018777;181322;1359;0;True
0.3;0.30000000000000004;0.4;2006265;180752;1332;0;True
0.3;0.30000000000000004;0.5;1999134;180339;1284;0;True
0.3;0.30000000000000004;0.6;1996138;178921;1309;0;True
0.3;0.30000000000000004;0.7000000000000001;1994287;178940;1336;0;True
0.3;0.30000000000000004;0.8;1987551;178400;1318;0;True
0.3;0.30000000000000004;0.9;1983457;177594;1313;0;True
0.3;0.4;0.1;2028236;183021;1287;0;True
0.3;0.4;0.2;2008168;180608;1296;0;True
0.3;0.4;0.30000000000000004;2000715;179626;1323;0;True
0.3;0.4;0.4;1992578;179207;1303;0;True
0.3;0.4;0.5;1985194;178476;1311;0;True
0.3;0.4;0.6;1982066;178128;1325;0;True
0.3;0.4;0.7000000000000001;1981578;178517;1299;0;True
0.3;0.4;0.8;1980202;178809;1329;0;True
0.3;0.4;0.9;1977771;178463;1330;0;True
0.3;0.5;0.1;2009306;180764;1341;0;True
0.3;0.5;0.2;1992452;179541;1301;0;True
0.3;0.5;0.30000000000000004;1987979;178922;1328;0;True
0.3;0.5;0.4;1980866;178281;1343;0;True
0.3;0.5;0.5;1982946;178405;1317;0;True
0.3;0.5;0.6;1974715;177360;1267;0;True
0.3;0.5;0.7000000000000001;1974746;176543;1330;0;True
0.3;0.5;0.8;1971416;176766;1321;0;True
0.3;0.5;0.9;1971757;176955;1320;0;True
0.3;0.6;0.1;1989718;178252;1318;0;True
0.3;0.6;0.2;1982932;178352;1319;0;True
0.3;0.6;0.30000000000000004;1980155;177961;1362;0;True
0.3;0.6;0.4;1977349;178306;1284;0;True
0.3;0.6;0.5;1976901;177042;1312;0;True
0.3;0.6;0.6;1972500;177064;1323;0;True
0.3;0.6;0.7000000000000001;1972581;176952;1317;0;True
0.3;0.6;0.8;1970534;176849;1312;0;True
0.3;0.6;0.9;1968189;176450;1317;0;True
0.3;0.7000000000000001;0.1;1986958;178800;1336;0;True
0.3;0.7000000000000001;0.2;1975889;177933;1324;0;True
0.3;0.7000000000000001;0.30000000000000004;1972617;176705;1236;0;True
0.3;0.7000000000000001;0.4;1972407;176994;1277;0;True
0.3;0.7000000000000001;0.5;1972221;177458;1294;0;True
0.3;0.7000000000000001;0.6;1970386;176841;1314;0;True
0.3;0.7000000000000001;0.7000000000000001;1968957;177102;1287;0;True
0.3;0.7000000000000001;0.8;1968956;176155;1359;0;True
0.3;0.7000000000000001;0.9;1967901;176987;1346;0;True
0.3;0.8;0.1;1977229;176314;1324;0;True
0.3;0.8;0.2;1975670;178327;1307;0;True
0.3;0.8;0.30000000000000004;1966968;176428;1284;0;True
0.3;0.8;0.4;1966291;177099;1299;0;True
0.3;0.8;0.5;1965886;176608;1345;0;True
0.3;0.8;0.6;1965771;176308;1303;0;True
0.3;0.8;0.7000000000000001;1967933;176375;1329;0;True
0.3;0.8;0.8;1969837;176985;1370;0;True
0.3;0.8;0.9;1966820;176055;1302;0;True
0.3;0.9;0.1;1972814;177374;1309;0;True
0.3;0.9;0.2;1968938;176995;1315;0;True
0.3;0.9;0.30000000000000004;1969126;177031;1319;0;True
0.3;0.9;0.4;1964883;175381;1252;0;True
0.3;0.9;0.5;1965081;176455;1288;0;True
0.3;0.9;0.6;1963411;176188;1302;0;True
0.3;0.9;0.7000000000000001;1967846;176769;1359;0;True
0.3;0.9;0.8;1966111;175915;1305;0;True
0.3;0.9;0.9;1965805;176135;1314;0;True
0.4;0.1;0.1;2711345;330563;100023;0;False
0.4;0.1;0.2;2602791;314671;1311;0;True
0.4;0.1;0.30000000000000004;2553103;307925;1327;0;True
0.4;0.1;0.4;2512383;303302;1261;0;True
0.4;0.1;0.5;2484972;300037;1293;0;True
0.4;0.1;0.6;2466627;297534;1340;0;True
0.4;0.1;0.7000000000000001;2449499;295031;1252;0;True
0.4;0.1;0.8;2429074;292709;1301;0;True
0.4;0.1;0.9;2422086;291318;1310;0;True
0.4;0.2;0.1;2506719;302449;1341;0;True
0.4;0.2;0.2;2458927;296692;1346;0;True
0.4;0.2;0.30000000000000004;2435506;292899;1309;0;True
0.4;0.2;0.4;2423033;292337;1287;0;True
0.4;0.2;0.5;2402330;289005;1303;0;True
0.4;0.2;0.6;2393906;287789;1308;0;True
0.4;0.2;0.7000000000000001;2387588;286781;1287;0;True
0.4;0.2;0.8;2383570;286656;1327;0;True
0.4;0.2;0.9;2376406;284974;1314;0;True
0.4;0.30000000000000004;0.1;2461912;297009;100045;0;False
0.4;0.30000000000000004;0.2;2411866;290365;1334;0;True
0.4;0.30000000000000004;0.30000000000000004;2395367;288329;1291;0;True
0.4;0.30000000000000004;0.4;2384117;285783;1280;0;True
0.4;0.30000000000000004;0.5;2376585;285025;1260;0;True
0.4;0.30000000000000004;0.6;2377846;285994;1296;0;True
